DBA,BORO,BUILDING,STREET,ZIPCODE,ADDRESS,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE
Gallo Nero/Cara Mia pizzaria,MANHATTAN,623,9TH AVE,10036,"623 9TH AVE, MANHATTAN, NY 10036",Italian,11/23/2018,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,59,C,11/23/2018
EXISTING CONDITIONS,MANHATTAN,35,W 8TH ST,10011,"35 W 8TH ST, MANHATTAN, NY 10011",American,1/16/2019,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,33,Not Yet Graded,
TASTY HAND-PULLED NOODLES,MANHATTAN,1,DOYERS STREET,10013,"1 DOYERS STREET, MANHATTAN, NY 10013",Chinese,2/14/2018,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7,A,2/14/2018
PANCHITO'S,MANHATTAN,103,MACDOUGAL STREET,10012,"103 MACDOUGAL STREET, MANHATTAN, NY 10012",Mexican,3/1/2017,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,13,A,3/1/2017
EMPIRE SZECHUAN KYOTO,MANHATTAN,193,COLUMBUS AVENUE,10023,"193 COLUMBUS AVENUE, MANHATTAN, NY 10023",Chinese/Japanese,12/12/2017,Food contact surface not properly maintained.,Not Critical,12,A,12/12/2017
ZENGO NYC,MANHATTAN,622,3 AVENUE,10017,"622 3 AVENUE, MANHATTAN, NY 10017","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/22/2018,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13,A,10/22/2018
PRINT RESTAURANT/PRESS LOUNGE/BANQUET KITCHEN,MANHATTAN,653,11 AVENUE,10036,"653 11 AVENUE, MANHATTAN, NY 10036",American,1/17/2019,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,12,A,1/17/2019
MOTEL MORRIS,MANHATTAN,132,7TH AVE,10011,"132 7TH AVE, MANHATTAN, NY 10011",American,3/23/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,3/23/2018
DUNKIN' DONUTS,MANHATTAN,64,FULTON STREET,10038,"64 FULTON STREET, MANHATTAN, NY 10038",Donuts,5/18/2018,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8,A,5/18/2018
SUSHIDEN,MANHATTAN,1251,AVENUE OF THE AMERICAS,10020,"1251 AVENUE OF THE AMERICAS, MANHATTAN, NY 10020",Japanese,2/8/2017,Food Protection Certificate not held by supervisor of food operations.,Critical,12,A,2/8/2017
MISSION CEVICHE,MANHATTAN,265,CANAL ST,10013,"265 CANAL ST, MANHATTAN, NY 10013",Peruvian,2/26/2019,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,11,A,2/26/2019
BRASS MONKEY,MANHATTAN,55,LITTLE WEST 12 STREET,10014,"55 LITTLE WEST 12 STREET, MANHATTAN, NY 10014",American,6/15/2015,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,6/15/2015
D.B.A.,MANHATTAN,41,1ST AVE,10003,"41 1ST AVE, MANHATTAN, NY 10003",American,6/13/2016,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,6/13/2016
TISSERIE,MANHATTAN,870,7 AVENUE,10019,"870 7 AVENUE, MANHATTAN, NY 10019",American,9/21/2016,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,9/21/2016
STARBUCKS,MANHATTAN,2045,BROADWAY,10023,"2045 BROADWAY, MANHATTAN, NY 10023",CafÃ©/Coffee/Tea,2/19/2019,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5,A,2/19/2019
COLUMBUS CITIZENS FOUNDATION,MANHATTAN,8,EAST   69 STREET,10021,"8 EAST   69 STREET, MANHATTAN, NY 10021",Italian,12/6/2017,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,12/6/2017
GOOD ENOUGH TO EAT (A.G. BISTRO),MANHATTAN,520,COLUMBUS AVENUE,10024,"520 COLUMBUS AVENUE, MANHATTAN, NY 10024",American,1/11/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,1/11/2017
CHARLYS,MANHATTAN,110,TRINITY PLACE,10006,"110 TRINITY PLACE, MANHATTAN, NY 10006",American,12/10/2018,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,34,C,12/10/2018
FRESCO,MANHATTAN,34,EAST   52 STREET,10022,"34 EAST   52 STREET, MANHATTAN, NY 10022",Italian,2/12/2018,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,11,A,2/12/2018
SUBWAY,MANHATTAN,223,AVENUE B,10009,"223 AVENUE B, MANHATTAN, NY 10009",Sandwiches,9/14/2016,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,9/14/2016
JOE,MANHATTAN,141,WAVERLY PLACE,10014,"141 WAVERLY PLACE, MANHATTAN, NY 10014",CafÃ©/Coffee/Tea,10/1/2015,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A,10/1/2015
CHOP'T,MANHATTAN,80,PINE STREET,10005,"80 PINE STREET, MANHATTAN, NY 10005",Salads,1/10/2019,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,3,A,1/10/2019
OH TAISHO,MANHATTAN,9,ST MARKS PLACE,10003,"9 ST MARKS PLACE, MANHATTAN, NY 10003",Japanese,6/13/2018,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,21,B,6/13/2018
CHERI,MANHATTAN,231,MALCOLM X BLVD,10027,"231 MALCOLM X BLVD, MANHATTAN, NY 10027",French,4/5/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,4/5/2018
SHORTY TANG NOODLE SHOP,MANHATTAN,98,8TH AVE,10011,"98 8TH AVE, MANHATTAN, NY 10011",Chinese,11/20/2017,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,23,B,11/20/2017
BERIMBAU,MANHATTAN,43,CARMINE STREET,10014,"43 CARMINE STREET, MANHATTAN, NY 10014",Brazilian,5/9/2016,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,12,A,5/9/2016
HOUNDSTOOTH PUB,MANHATTAN,520,8 AVENUE,10018,"520 8 AVENUE, MANHATTAN, NY 10018",American,8/20/2015,''''Wash hands sign not posted at hand wash facility.,Not Critical,10,A,8/20/2015
QUAD CINEMA,MANHATTAN,34,W 13TH ST,10011,"34 W 13TH ST, MANHATTAN, NY 10011",CafÃ©/Coffee/Tea,8/27/2018,Food Protection Certificate not held by supervisor of food operations.,Critical,10,A,8/27/2018
DA RAFFAELE,MANHATTAN,883,1ST AVE,10022,"883 1ST AVE, MANHATTAN, NY 10022",Italian,7/18/2018,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,14,B,7/18/2018
PYE BOAT NOODLE,MANHATTAN,1711,2 AVENUE,10128,"1711 2 AVENUE, MANHATTAN, NY 10128",Thai,10/15/2015,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A,10/15/2015
SUSHI OF GARI 46,MANHATTAN,347,WEST   46 STREET,10036,"347 WEST   46 STREET, MANHATTAN, NY 10036",Japanese,12/9/2015,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,12/9/2015
AUNTIE ANNE'S PRETZELS,MANHATTAN,0,PENN STATION,10121,"0 PENN STATION, MANHATTAN, NY 10121",American,2/26/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,2/26/2018
AZALEA,MANHATTAN,224,WEST   51 STREET,10019,"224 WEST   51 STREET, MANHATTAN, NY 10019",Italian,9/27/2017,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,9/27/2017
AMBER,MANHATTAN,135,CHRISTOPHER ST,10014,"135 CHRISTOPHER ST, MANHATTAN, NY 10014",Japanese,12/12/2016,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,12/12/2016
PONGSRI THAI RESTAURANT,MANHATTAN,244,WEST   48 STREET,10036,"244 WEST   48 STREET, MANHATTAN, NY 10036",Thai,4/25/2018,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,20,B,4/25/2018
MURRAY'S CHEESE BAR,MANHATTAN,264,BLEECKER STREET,10014,"264 BLEECKER STREET, MANHATTAN, NY 10014",American,6/26/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,24,B,6/26/2018
BAREBURGER,MANHATTAN,313,W 57TH ST,10019,"313 W 57TH ST, MANHATTAN, NY 10019",American,1/30/2018,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,9,A,1/30/2018
STARBUCKS,MANHATTAN,30,ROCKFEELLER PLAZA,,"30 ROCKFEELLER PLAZA, MANHATTAN, NY ",CafÃ©/Coffee/Tea,3/8/2019,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,3/8/2019
BAMBOO SUSHI,MANHATTAN,1280,1ST AVENUE,10065,"1280 1ST AVENUE, MANHATTAN, NY 10065",Japanese,1/28/2019,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,1/28/2019
SUBWAY,MANHATTAN,563,LENOX AVENUE,10037,"563 LENOX AVENUE, MANHATTAN, NY 10037",Sandwiches,2/9/2017,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,11,A,2/9/2017
CALLIES TAQUERIA & TEQUILA BAR,MANHATTAN,547,LENOX AVE,10037,"547 LENOX AVE, MANHATTAN, NY 10037",Barbecue,5/16/2016,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,15,B,5/16/2016
AJISEN RAMEN,MANHATTAN,136,WEST   28 STREET,10001,"136 WEST   28 STREET, MANHATTAN, NY 10001",Japanese,7/2/2018,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,7/2/2018
DUNKIN DONUTS,MANHATTAN,155,W 35TH ST,10001,"155 W 35TH ST, MANHATTAN, NY 10001",Donuts,6/7/2016,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7,A,6/7/2016
THE SPOT KARAOKE LOUNGE,MANHATTAN,34,WEST   32 STREET,10001,"34 WEST   32 STREET, MANHATTAN, NY 10001",Korean,1/29/2019,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,10,A,1/29/2019
IL BUCO RESTAURANT,MANHATTAN,47,BOND STREET,10012,"47 BOND STREET, MANHATTAN, NY 10012",Italian,7/2/2018,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,7/2/2018
TROPIC BOWL,MANHATTAN,45,1ST AVE,10003,"45 1ST AVE, MANHATTAN, NY 10003","Juice, Smoothies, Fruit Salads",10/29/2018,Proper sanitization not provided for utensil ware washing operation.,Not Critical,12,Not Yet Graded,
AMC THEATRES,MANHATTAN,66,3RD AVE,10003,"66 3RD AVE, MANHATTAN, NY 10003",American,5/21/2018,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,5/21/2018
HOP KEE RESTAURANT,MANHATTAN,21,MOTT STREET,10013,"21 MOTT STREET, MANHATTAN, NY 10013",Chinese,6/1/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,6/1/2018
KENNEDY FRIED CHICKEN,MANHATTAN,1270,SAINT NICHOLAS AVE,10033,"1270 SAINT NICHOLAS AVE, MANHATTAN, NY 10033",Chicken,2/20/2019,Hot food item not held at or above 140Âº F.,Critical,9,A,2/20/2019
TERANGA TAC,MANHATTAN,1280,5TH AVE,10029,"1280 5TH AVE, MANHATTAN, NY 10029",African,3/22/2019,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,44,Not Yet Graded,
SPICY VILLAGE,MANHATTAN,68B,FORSYTH STREET,10002,"68B FORSYTH STREET, MANHATTAN, NY 10002",Chinese,1/18/2019,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,6,A,1/18/2019
MAISON THAI,MANHATTAN,625,2ND AVE,10016,"625 2ND AVE, MANHATTAN, NY 10016",Thai,8/30/2017,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,27,B,8/30/2017
FOOLS GOLD,MANHATTAN,145,E HOUSTON ST,10002,"145 E HOUSTON ST, MANHATTAN, NY 10002",American,2/22/2016,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,27,B,2/22/2016
NHA TRANG ONE,MANHATTAN,87,BAXTER STREET,10013,"87 BAXTER STREET, MANHATTAN, NY 10013",Vietnamese/Cambodian/Malaysia,4/24/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,24,B,4/24/2017
LA CHULA,MANHATTAN,137,E 116TH ST,10029,"137 E 116TH ST, MANHATTAN, NY 10029",Mexican,12/8/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,12/8/2017
EL RINCON DEL SABOR LATINO,MANHATTAN,74,W 47TH ST,10036,"74 W 47TH ST, MANHATTAN, NY 10036",Spanish,2/6/2017,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,2/6/2017
SPOONBREAD TOO,MANHATTAN,364,WEST  110 STREET,10025,"364 WEST  110 STREET, MANHATTAN, NY 10025",Soul Food,12/7/2016,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,23,B,12/7/2016
MOKJA,MANHATTAN,1663,1ST AVE,10028,"1663 1ST AVE, MANHATTAN, NY 10028",Korean,9/25/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,9/25/2018
YO SUSHI,MANHATTAN,208,3RD AVE,10003,"208 3RD AVE, MANHATTAN, NY 10003",Japanese,4/11/2016,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,26,B,4/11/2016
SUMA SUSHI,MANHATTAN,964,AMSTERDAM AVENUE,10025,"964 AMSTERDAM AVENUE, MANHATTAN, NY 10025",Japanese,8/21/2017,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,30,C,8/21/2017
SHERATON NEW YORK HOTEL & TOWERS,MANHATTAN,811,7 AVENUE,10019,"811 7 AVENUE, MANHATTAN, NY 10019",American,5/10/2016,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,5/10/2016
MERILU PIZZA AL METRO,MANHATTAN,791,9TH AVE,10019,"791 9TH AVE, MANHATTAN, NY 10019",Pizza,7/27/2016,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,7/27/2016
DIG INN,MANHATTAN,463,7TH AVE,10018,"463 7TH AVE, MANHATTAN, NY 10018",American,12/17/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,12/17/2018
GREAT WOK,MANHATTAN,1631,LEXINGTON AVE,10029,"1631 LEXINGTON AVE, MANHATTAN, NY 10029",Chinese,2/25/2019,Food Protection Certificate not held by supervisor of food operations.,Critical,27,Z,2/25/2019
BARAWINE,MANHATTAN,27,W 120TH ST,10027,"27 W 120TH ST, MANHATTAN, NY 10027",French,7/6/2016,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9,A,7/6/2016
GUCKENHEIMER @ TWITTER CAFE,MANHATTAN,245,W 17TH ST,10011,"245 W 17TH ST, MANHATTAN, NY 10011",American,4/1/2016,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,9,A,4/1/2016
KAWA SUSHI 8 AVENUE,MANHATTAN,24,8 AVENUE,10014,"24 8 AVENUE, MANHATTAN, NY 10014",Japanese,4/12/2017,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,4/12/2017
